tiennent;tenaient;tièrent;tinssent;tiendraient
tentent;tentaient;tentèrent;tentassent;tenteraient
terminent;terminaient;terminèrent;terminassent;termineraient
tirent;tiraient;tirèrent;tirassent;tireraient
tombent;tombaient;tombèrent;tombassent;tomberaient
touchent;touchaient;touchèrent;touchassent;toucheraient
tournent;tournaient;tournèrent;tournassent;tourneraient
traînent;traînaient;traînèrent;traînassent;traîneraient
traitent;traitaient;traitèrent;traitassent;traiteraient
travaillent;travaillaient;travaillèrent;travaillassent;travailleraient
traversent;traversaient;traversèrent;traversassent;traverseraient
trompent;trompaient;trompèrent;trompassent;tromperaient
trouvent;trouvaient;trouvèrent;trouvassent;trouveraient
tuent;tuaient;tuèrent;tuassent;tueraient
unifient;unifiaient;unifièrent;unifiassent;unifieraient
utilisent;utilisaient;utilisèrent;utilisassent;utiliseraient
valent;valaient;valèrent;vaillent;valussent;vaudraient
vendent;vendaient;vendèrent;vendissent;vendraient
viennent;venaient;vièrent;vinssent;viendraient
vivent;vivaient;vécurent;vécussent;vivraient
voient;voyaient;virent;vissent;verraient
volent;volaient;volèrent;volassent;voleraient
veulent;voulaient;voulèrent;veuillent;voulussent;voudraient
